D2 - I-35 @ MM 196.3 near Clear Lake (D2TV01),cctv-inventory-item
D2 - I-35 @ MM 194.3 Clear Lake (D1TV02),cctv-inventory-item
D2 - US 18 @ MM 186.3 near Mason City (D2TV03),cctv-inventory-item
D2 - I-35 @ MM 160 near Dows (D2TV08),cctv-inventory-item
D4 - I-80 @ MM 93.3 Stuart (D4TV01),cctv-inventory-item
D5 - US 218 @ MM 80.9 near Riverside (D5TV01),cctv-inventory-item
D6 - US 20 MM 293 @ Dyersville (1),cctv-inventory-item
D6 - US 151 @ MM 55.3 near Anamosa (D6TV02),cctv-inventory-item
RWIS - US 218 MM 38 near Mt Pleasant,cctv-inventory-item
R32: US 218 Bridge,cctv-inventory-item
R32: US 218 NB,cctv-inventory-item
R32: US 218 SB,cctv-inventory-item
R32: US 218 West,cctv-inventory-item
R32: US 218,cctv-inventory-item
RWIS - US 18 MM 224 near New Hampton,cctv-inventory-item
R33: US 18 Roadway,cctv-inventory-item
R33: US 18 South,cctv-inventory-item
R33: US 18 East,cctv-inventory-item
R33: US 18 West,cctv-inventory-item
RWIS - I-29 MM 101 near Sloan,cctv-inventory-item
R34: I-29 NB Pavement,cctv-inventory-item
R34: I-29 NB,cctv-inventory-item
R34: I-29 NB Zoom,cctv-inventory-item
R34: West view,cctv-inventory-item
RWIS - I-35 MM 33 @ Osceola,cctv-inventory-item
R35: Position 1,cctv-inventory-item
R35: Position 2,cctv-inventory-item
R35: Position 3,cctv-inventory-item
R35: Position 4,cctv-inventory-item
R35: Position 5,cctv-inventory-item
R35: Position 6,cctv-inventory-item
R35: Position 7,cctv-inventory-item
R35: Position 8,cctv-inventory-item
RWIS - IA 163 MM 45 @ Pella,cctv-inventory-item
R37: IA 163,cctv-inventory-item
R37: IA 163 East View,cctv-inventory-item
R37: IA 163 WB Bridge Deck,cctv-inventory-item
RWIS - US 34 MM 49 near Red Oak,cctv-inventory-item
R38: US 71 Bridge,cctv-inventory-item
R38: US 71 South Zoom,cctv-inventory-item
R38: US 71 South,cctv-inventory-item
R38: US 34 East,cctv-inventory-item
R38: US 34 West,cctv-inventory-item
R38: US 71 North,cctv-inventory-item
R38: US 34 West 2,cctv-inventory-item
RWIS - IA 92 MM 199 near Sigourney,cctv-inventory-item
R40: IA 92 West,cctv-inventory-item
R40: IA 92 Roadway,cctv-inventory-item
R40: IA 92 East,cctv-inventory-item
R40: IA 92 East Bridge,cctv-inventory-item
R40: IA 92 East Zoom,cctv-inventory-item
RWIS - US 18 MM 85 near Spencer,cctv-inventory-item
R42: US 18 Bridge,cctv-inventory-item
R42: US 18 East,cctv-inventory-item
R42: US 18 Roadway,cctv-inventory-item
R42: US 18 West,cctv-inventory-item
RWIS - US 71 MM 172 near Storm Lk,cctv-inventory-item
R43: IA 3 West,cctv-inventory-item
R43: US 71 Roadway,cctv-inventory-item
R43: US 71 North Zoom,cctv-inventory-item
R43: US 71 South,cctv-inventory-item
R43: IA 3 East,cctv-inventory-item
RWIS - I-80 MM 266 near Tipton,cctv-inventory-item
R44: I-80 Roadway,cctv-inventory-item
R44: I-80 Bridge,cctv-inventory-item
R44: I-80 West,cctv-inventory-item
R44: I-80 East,cctv-inventory-item
RWIS - I-35 MM 153 near Williams,cctv-inventory-item
R47: I-35 North,cctv-inventory-item
R47: I-35 South,cctv-inventory-item
R47: I-35 SB Bridge,cctv-inventory-item
R47: I-35 NB Bridge,cctv-inventory-item
RWIS - I-80 MM 220 @ Williamsburg,cctv-inventory-item
R48: IA 149 South,cctv-inventory-item
R48: I-80 Bridge,cctv-inventory-item
R48: I-80 East,cctv-inventory-item
RWIS - US 20 MM 181 near Steamboat Rk,cctv-inventory-item
R50: US 20 Bridge,cctv-inventory-item
R50: US 20 West,cctv-inventory-item
R50: US 20 East,cctv-inventory-item
RWIS - US 59 MM 129 @ Ida Grove,cctv-inventory-item
R51: US 59 Roadway,cctv-inventory-item
R51: US 59 Bridge,cctv-inventory-item
R51: US 59 West,cctv-inventory-item
R51: US 59 East,cctv-inventory-item
RWIS - US 151 MM 49 near Anamosa,cctv-inventory-item
R52: US 151 Roadway,cctv-inventory-item
R52: US 151 West,cctv-inventory-item
R52: US 151 West Zoom,cctv-inventory-item
R52: US 151 EB Bridge,cctv-inventory-item
R52: US 151 WB Bridge,cctv-inventory-item
R52: US 151 East,cctv-inventory-item
R52: IA 1 North,cctv-inventory-item
R52: IA 1 South,cctv-inventory-item
RWIS - I-80 MM 154 @ Colfax,cctv-inventory-item
R53: I-80 East,cctv-inventory-item
R53: I-80 Roadway,cctv-inventory-item
R53: I-80 East,cctv-inventory-item
RWIS - IA 137 MM 13 @ Eddyville,cctv-inventory-item
R56: IA 137 South,cctv-inventory-item
R56: IA 137 Roadway,cctv-inventory-item
R56: IA 137 Bridge,cctv-inventory-item
R56: IA 137 North,cctv-inventory-item
RWIS - US 30 MM 218 near Tama,cctv-inventory-item
R57: US 30 Roadway,cctv-inventory-item
R57: US 30/IA 21 Int,cctv-inventory-item
R57: IA 21 South,cctv-inventory-item
R57: US 30 East,cctv-inventory-item
R57: IA 21 Roadway,cctv-inventory-item
R57: US 30 West,cctv-inventory-item
RWIS - US 218 MM 211 @ Plainfield,cctv-inventory-item
R58: US 218 North,cctv-inventory-item
R58: US 218 SB Bridge,cctv-inventory-item
R58: US 218 NB Bridge,cctv-inventory-item
R58: US 218 South,cctv-inventory-item
RWIS - IA 2 MM 219 near Cantril,cctv-inventory-item
R59: IA 2 Roadway,cctv-inventory-item
R59: IA 2 East,cctv-inventory-item
R59: IA 2 West,cctv-inventory-item
